id,action,reason,question
VGIK-SOUND-00185,removed,низкая ценность или старый автонабор,Как использовать «Кино между адом и раем» на собеседовании?
VGIK-SOUND-00186,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Драматургия фильма»?
VGIK-SOUND-00187,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Драматургия фильма»?
VGIK-SOUND-00189,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Курс лекций по звукорежиссуре в кино»?
VGIK-SOUND-00190,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Курс лекций по звукорежиссуре в кино»?
VGIK-SOUND-00191,removed,низкая ценность или старый автонабор,Как использовать «Курс лекций по звукорежиссуре в кино» на собеседовании?
VGIK-SOUND-00192,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Мировое кино. История искусства экрана»?
VGIK-SOUND-00193,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Мировое кино. История искусства экрана»?
VGIK-SOUND-00194,removed,низкая ценность или старый автонабор,Как использовать «Мировое кино. История искусства экрана» на собеседовании?
VGIK-SOUND-00195,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Рождение звукового образа»?
VGIK-SOUND-00196,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Рождение звукового образа»?
VGIK-SOUND-00197,removed,низкая ценность или старый автонабор,Как использовать «Рождение звукового образа» на собеседовании?
VGIK-SOUND-00198,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Звук в пространстве кинематографа»?
VGIK-SOUND-00199,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Звук в пространстве кинематографа»?
VGIK-SOUND-00200,removed,низкая ценность или старый автонабор,Как использовать «Звук в пространстве кинематографа» на собеседовании?
VGIK-SOUND-00201,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Из истории культуры Древней Руси X-XVII вв.»?
VGIK-SOUND-00202,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Из истории культуры Древней Руси X-XVII вв.»?
VGIK-SOUND-00203,removed,низкая ценность или старый автонабор,Как использовать «Из истории культуры Древней Руси X-XVII вв.» на собеседовании?
VGIK-SOUND-00204,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «История мировой культуры. Культура Древнего Мира»?
VGIK-SOUND-00205,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «История мировой культуры. Культура Древнего Мира»?
VGIK-SOUND-00206,removed,низкая ценность или старый автонабор,Как использовать «История мировой культуры. Культура Древнего Мира» на собеседовании?
VGIK-SOUND-00207,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «История мировой культуры. Культура Западной Европы в средние века»?
VGIK-SOUND-00208,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «История мировой культуры. Культура Западной Европы в средние века»?
VGIK-SOUND-00210,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Справочник по физике. 7-9 классы. ФГОС»?
VGIK-SOUND-00211,removed,низкая ценность или старый автонабор,Как использовать «Справочник по физике. 7-9 классы. ФГОС» на собеседовании?
VGIK-SOUND-00212,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Богословие иконы Православной церкви»?
VGIK-SOUND-00213,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Богословие иконы Православной церкви»?
VGIK-SOUND-00214,removed,низкая ценность или старый автонабор,Как использовать «Богословие иконы Православной церкви» на собеседовании?
VGIK-SOUND-00215,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Ухо как приемник информации»?
VGIK-SOUND-00216,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Ухо как приемник информации»?
VGIK-SOUND-00217,removed,низкая ценность или старый автонабор,Как использовать «Ухо как приемник информации» на собеседовании?
VGIK-SOUND-00218,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Физика. 7-9 классы. Сборник задач к учебникам»?
VGIK-SOUND-00219,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Физика. 7-9 классы. Сборник задач к учебникам»?
VGIK-SOUND-00220,removed,низкая ценность или старый автонабор,Как использовать «Физика. 7-9 классы. Сборник задач к учебникам» на собеседовании?
VGIK-SOUND-00221,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Физика. Толковый словарь школьника и студента»?
VGIK-SOUND-00222,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Физика. Толковый словарь школьника и студента»?
VGIK-SOUND-00223,removed,низкая ценность или старый автонабор,Как использовать «Физика. Толковый словарь школьника и студента» на собеседовании?
VGIK-SOUND-00224,removed,низкая ценность или старый автонабор,"К какой зоне подготовки ближе «Экспресс-курс физики для школьников, абитуриентов, студентов»?"
VGIK-SOUND-00225,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Кто автор/составитель «Экспресс-курс физики для школьников, абитуриентов, студентов»?"
VGIK-SOUND-00226,removed,низкая ценность или старый автонабор,"Как использовать «Экспресс-курс физики для школьников, абитуриентов, студентов» на собеседовании?"
VGIK-SOUND-00227,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Заявка. Будущее звуковой фильмы»?
VGIK-SOUND-00228,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Заявка. Будущее звуковой фильмы»?
VGIK-SOUND-00229,removed,низкая ценность или старый автонабор,Как использовать «Заявка. Будущее звуковой фильмы» на собеседовании?
VGIK-V4-00001,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Зеркало» (реж. Андрей Тарковский, 1974)."
VGIK-V4-00002,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Зеркало» (реж. Андрей Тарковский, 1974) в сцене: Сцена с пожаром сарая?"
VGIK-V4-00003,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Зеркало» (реж. Андрей Тарковский, 1974) в сцене: Сцены с голосом за кадром и стихами?"
VGIK-V4-00004,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Зеркало» (реж. Андрей Тарковский, 1974) в сцене: Сцены дождя, ветра, воды и шелеста травы?"
VGIK-V4-00005,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Солярис» (реж. Андрей Тарковский, 1972)."
VGIK-V4-00006,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Солярис» (реж. Андрей Тарковский, 1972) в сцене: Сцены на космической станции?"
VGIK-V4-00007,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Солярис» (реж. Андрей Тарковский, 1972) в сцене: Сцены с Хари?"
VGIK-V4-00008,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Солярис» (реж. Андрей Тарковский, 1972) в сцене: Сцена невесомости?"
VGIK-V4-00009,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Иди и смотри» (реж. Элем Климов, 1985)."
VGIK-V4-00010,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иди и смотри» (реж. Элем Климов, 1985) в сцене: Сцена оглушения после взрыва?"
VGIK-V4-00011,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иди и смотри» (реж. Элем Климов, 1985) в сцене: Сцены деревни перед уничтожением?"
VGIK-V4-00012,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иди и смотри» (реж. Элем Климов, 1985) в сцене: Финальные сцены с фотографией Гитлера?"
VGIK-V4-00013,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Жестокий романс» (реж. Эльдар Рязанов, 1984)."
VGIK-V4-00014,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Жестокий романс» (реж. Эльдар Рязанов, 1984) в сцене: Сцены романсов?"
VGIK-V4-00015,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Жестокий романс» (реж. Эльдар Рязанов, 1984) в сцене: Сцены разговоров в купеческом кругу?"
VGIK-V4-00016,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Жестокий романс» (реж. Эльдар Рязанов, 1984) в сцене: Финальная сцена?"
VGIK-V4-00017,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Александр Невский» (реж. Сергей Эйзенштейн, 1938)."
VGIK-V4-00018,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Александр Невский» (реж. Сергей Эйзенштейн, 1938) в сцене: Сцена Ледового побоища?"
VGIK-V4-00019,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Александр Невский» (реж. Сергей Эйзенштейн, 1938) в сцене: Появление немецких рыцарей?"
VGIK-V4-00020,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Александр Невский» (реж. Сергей Эйзенштейн, 1938) в сцене: Сцены народного сбора?"
VGIK-V4-00021,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Обыкновенный фашизм» (реж. Михаил Ромм, 1966)."
VGIK-V4-00022,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Обыкновенный фашизм» (реж. Михаил Ромм, 1966) в сцене: Сцены хроники с авторским комментарием?"
VGIK-V4-00023,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Обыкновенный фашизм» (реж. Михаил Ромм, 1966) в сцене: Сцены массовых шествий?"
VGIK-V4-00024,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Обыкновенный фашизм» (реж. Михаил Ромм, 1966) в сцене: Сцены с детьми и бытовыми деталями?"
VGIK-V4-00025,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Андрей Рублев» (реж. Андрей Тарковский, 1966)."
VGIK-V4-00026,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Андрей Рублев» (реж. Андрей Тарковский, 1966) в сцене: Сцена колокола?"
VGIK-V4-00027,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Андрей Рублев» (реж. Андрей Тарковский, 1966) в сцене: Сцены набега?"
VGIK-V4-00028,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Андрей Рублев» (реж. Андрей Тарковский, 1966) в сцене: Сцены молчания Рублева?"
VGIK-V4-00029,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Иваново детство» (реж. Андрей Тарковский, 1962)."
VGIK-V4-00030,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иваново детство» (реж. Андрей Тарковский, 1962) в сцене: Сцены сна?"
VGIK-V4-00031,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иваново детство» (реж. Андрей Тарковский, 1962) в сцене: Военные сцены?"
VGIK-V4-00032,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Иваново детство» (реж. Андрей Тарковский, 1962) в сцене: Сцены переправы и разведки?"
VGIK-V4-00033,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Астенический синдром» (реж. Кира Муратова, 1990)."
VGIK-V4-00034,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Астенический синдром» (реж. Кира Муратова, 1990) в сцене: Сцены городского шума и очередей?"
VGIK-V4-00035,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Астенический синдром» (реж. Кира Муратова, 1990) в сцене: Сцены с резкими перебиваниями?"
VGIK-V4-00036,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Астенический синдром» (реж. Кира Муратова, 1990) в сцене: Сцены с животными и документальной фактурой?"
VGIK-V4-00037,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Асса» (реж. Сергей Соловьёв, 1987)."
VGIK-V4-00038,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Асса» (реж. Сергей Соловьёв, 1987) в сцене: Сцены с рок-музыкой?"
VGIK-V4-00039,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Асса» (реж. Сергей Соловьёв, 1987) в сцене: Финальное выступление?"
VGIK-V4-00040,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Асса» (реж. Сергей Соловьёв, 1987) в сцене: Сцены курортной среды?"
VGIK-V4-00041,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Баллада о солдате» (реж. Григорий Чухрай, 1959)."
VGIK-V4-00042,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Баллада о солдате» (реж. Григорий Чухрай, 1959) в сцене: Сцены дороги?"
VGIK-V4-00043,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Баллада о солдате» (реж. Григорий Чухрай, 1959) в сцене: Встреча с матерью?"
VGIK-V4-00044,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Баллада о солдате» (реж. Григорий Чухрай, 1959) в сцене: Военные эпизоды?"
VGIK-V4-00045,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Летят журавли» (реж. Михаил Калатозов, 1957)."
VGIK-V4-00046,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Летят журавли» (реж. Михаил Калатозов, 1957) в сцене: Сцена проводов и движения толпы?"
VGIK-V4-00047,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Летят журавли» (реж. Михаил Калатозов, 1957) в сцене: Сцены бомбёжки и лестницы?"
VGIK-V4-00048,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Летят журавли» (реж. Михаил Калатозов, 1957) в сцене: Лирические сцены Бориса и Вероники?"
VGIK-V4-00049,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Крылья» (реж. Лариса Шепитько, 1966)."
VGIK-V4-00050,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Крылья» (реж. Лариса Шепитько, 1966) в сцене: Сцены школы?"
VGIK-V4-00051,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Крылья» (реж. Лариса Шепитько, 1966) в сцене: Сцены воспоминаний о полёте?"
VGIK-V4-00052,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Крылья» (реж. Лариса Шепитько, 1966) в сцене: Финальные эпизоды?"
VGIK-V4-00053,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Курьер» (реж. Карен Шахназаров, 1986)."
VGIK-V4-00054,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Курьер» (реж. Карен Шахназаров, 1986) в сцене: Сцены разговоров Ивана со взрослыми?"
VGIK-V4-00055,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Курьер» (реж. Карен Шахназаров, 1986) в сцене: Сцены городской среды?"
VGIK-V4-00056,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Курьер» (реж. Карен Шахназаров, 1986) в сцене: Сцены в квартире профессора?"
VGIK-V4-00057,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Я шагаю по Москве» (реж. Георгий Данелия, 1963)."
VGIK-V4-00058,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Я шагаю по Москве» (реж. Георгий Данелия, 1963) в сцене: Сцены прогулки по городу?"
VGIK-V4-00059,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Я шагаю по Москве» (реж. Георгий Данелия, 1963) в сцене: Сцена песни?"
VGIK-V4-00060,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Я шагаю по Москве» (реж. Георгий Данелия, 1963) в сцене: Сцены метро и улиц?"
VGIK-V4-00061,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Гамлет» (реж. Григорий Козинцев, 1964)."
VGIK-V4-00062,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Гамлет» (реж. Григорий Козинцев, 1964) в сцене: Сцены у моря и замка?"
VGIK-V4-00063,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Гамлет» (реж. Григорий Козинцев, 1964) в сцене: Монологи Гамлета?"
VGIK-V4-00064,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Гамлет» (реж. Григорий Козинцев, 1964) в сцене: Сцены двора?"
VGIK-V4-00065,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Война и мир» (реж. Сергей Бондарчук, 1965-1967)."
VGIK-V4-00066,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Война и мир» (реж. Сергей Бондарчук, 1965-1967) в сцене: Батальные сцены?"
VGIK-V4-00067,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Война и мир» (реж. Сергей Бондарчук, 1965-1967) в сцене: Бальные сцены?"
VGIK-V4-00068,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Война и мир» (реж. Сергей Бондарчук, 1965-1967) в сцене: Камерные разговоры?"
VGIK-V4-00069,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Остров» (реж. Павел Лунгин, 2006)."
VGIK-V4-00070,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Остров» (реж. Павел Лунгин, 2006) в сцене: Сцены у воды и монастыря?"
VGIK-V4-00071,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Остров» (реж. Павел Лунгин, 2006) в сцене: Сцены молитвы?"
VGIK-V4-00072,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Остров» (реж. Павел Лунгин, 2006) в сцене: Сцены покаяния?"
VGIK-V4-00073,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Страна глухих» (реж. Валерий Тодоровский, 1998)."
VGIK-V4-00074,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Страна глухих» (реж. Валерий Тодоровский, 1998) в сцене: Сцены общения слышащих и глухих персонажей?"
VGIK-V4-00075,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Страна глухих» (реж. Валерий Тодоровский, 1998) в сцене: Сцены танца и музыки?"
VGIK-V4-00076,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Страна глухих» (реж. Валерий Тодоровский, 1998) в сцене: Городские сцены?"
VGIK-V4-00077,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Возвращение» (реж. Андрей Звягинцев, 2003)."
VGIK-V4-00078,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Возвращение» (реж. Андрей Звягинцев, 2003) в сцене: Сцены дороги?"
VGIK-V4-00079,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Возвращение» (реж. Андрей Звягинцев, 2003) в сцене: Сцены у воды?"
VGIK-V4-00080,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Возвращение» (реж. Андрей Звягинцев, 2003) в сцене: Финал?"
VGIK-V4-00081,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Выбери лучший мини-план звукозрительного анализа фильма «Елена» (реж. Андрей Звягинцев, 2011)."
VGIK-V4-00082,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Елена» (реж. Андрей Звягинцев, 2011) в сцене: Сцены квартиры?"
VGIK-V4-00083,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Елена» (реж. Андрей Звягинцев, 2011) в сцене: Сцены поездок?"
VGIK-V4-00084,removed,низкая ценность или старый автонабор,"Как звук работает в фильме «Елена» (реж. Андрей Звягинцев, 2011) в сцене: Ключевые сцены решения героини?"
VGIK-V9-00001,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Служебный роман» (реж. Эльдар Рязанов, 1977)?"
VGIK-V9-00002,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Брат» (реж. Алексей Балабанов, 1997)?"
VGIK-V9-00003,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Кин-дза-дза!» (реж. Георгий Данелия, 1986)?"
VGIK-V9-00004,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Бриллиантовая рука» (реж. Леонид Гайдай, 1968)?"
VGIK-V9-00005,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Сталкер» (реж. Андрей Тарковский, 1979)?"
VGIK-V9-00006,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Ирония судьбы, или С лёгким паром!» (реж. Эльдар Рязанов, 1975)?"
VGIK-V9-00007,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Гараж» (реж. Эльдар Рязанов, 1979)?"
VGIK-V9-00008,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Москва слезам не верит» (реж. Владимир Меньшов, 1979)?"
VGIK-V9-00009,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Белое солнце пустыни» (реж. Владимир Мотыль, 1970)?"
VGIK-V9-00010,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Операция Ы и другие приключения Шурика» (реж. Леонид Гайдай, 1965)?"
VGIK-V9-00011,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Солярис» (реж. Андрей Тарковский, 1972)?"
VGIK-V9-00012,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Левиафан» (реж. Андрей Звягинцев, 2014)?"
VGIK-V9-00013,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Мимино» (реж. Георгий Данелия, 1977)?"
VGIK-V9-00014,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Иван Васильевич меняет профессию» (реж. Леонид Гайдай, 1973)?"
VGIK-V9-00015,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Какой звукозрительный разбор подходит к фильму «Джентльмены удачи» (реж. Александр Серый, 1971)?"
